Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443,370829,10,8,522,4190,188,0,52.2,74.7481698,1430,0,523.75,636.2449551,12706.66534,48.53989305,21813.47059,30534.02992,106697,1,370829,41203.22222,34787.39631,106829,50,272048,38864.0,60892.57275,143464,3,0,0,0,0,212,172,26.96660725,21.5732858,0,1430,248.0,467.6848417,218729.1111,0,0,0,1,0,0,0,0,0,261.7777778,52.2,523.75,212,0,0,0,0,0,0,10,522,8,4190,8192,351,9,20,0.0,0.0,0,0,0.0,0.0,0,0
443,149505,9,8,538,4445,210,0,59.77777778,82.22952295,1430,0,555625,663.1823575,33329.98896,113.7085716,9344.0625,14865.62542,36981,2,149505,18688125,17044.79824,37625,48,86508,12358.28571,20982.05883,48704,2,0,0,0,0,192,172,60.19865556,53.50991606,0,1430,276.8333333,500.3071116,250307.2059,0,0,0,1,0,0,0,0,0,293.1176471,59.77777778,555625,192,0,0,0,0,0,0,9,538,8,4445,8192,343,8,20,0.0,0.0,0,0,0.0,0.0,0,0
44226,35,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,57142.85714,35.0,0.0,35,35,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,28571.42857,28571.42857,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,118,305,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,170447,8,4,520,3872,200,0,65.0,78.9593023562,2860,0,968.0,1347.0431816885,25767.5406431325,70.4031165113,15495.1818181818,20531.543238725,53383,33,170447,24349.5714285714,21989.7005804774,55102,45,59947,19982.3333333333,32991.0890443667,58068,216,0,0,0,0,172,92,46.9354110075,23.4677055038,0,2860,337.8461538462,805.4653775048,648774.474358974,0,0,0,1,0,0,0,0,0,366.0,65.0,968.0,172,0,0,0,0,0,0,8,520,4,3872,8192,343,7,20,0.0,0.0,0,0,0.0,0.0,0,0
53,69909,1,1,59,317,59,59,59.0,0.0,317,317,317.0,0.0,5378.420518,28.60861978,69909.0,0.0,69909,69909,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,14.30430989,14.30430989,59,317,145.0,148.9563695,22188.0,0,0,0,0,0,0,0,0,1,217.5,59.0,317.0,20,0,0,0,0,0,0,1,59,1,317,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,115643084,16,13,732,764,648,0,45.75,160.6069737,698,0,58.76923077,192.0721018,12.9363551,0.25077159,4130110143,4869778112,10000000,160,116000000,7709538933,4191867896,10100000,368,111000000,9260675917,2886317887,10100000,95390,0,0,0,0,332,272,0.138356739,0.112414851,0,698,49.86666667,169.5234158,28738.18851,0,0,0,1,0,0,0,0,0,51.5862069,45.75,58.76923077,332,0,0,0,0,0,0,16,732,13,764,8192,1024,15,20,110572.6364,54995.97121,276385,93468,9991991727,27335.93982,10000000,9909970
49161,48,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,333333.3333,83333.33333,16.0,26.85144316,47,0,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,48,40,41666.66667,41666.66667,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0
443,6239520,11,8,409,4408,186,0,37.18181818,68.39125409,1460,0,551.0,697.0394537,772.0145139,3.045106034,346640.0,1169662633,5007790,3,6239520,623952.0,1546678592,5007790,3,875977,125139.5714,135149.8782,357320,49,0,0,0,0,264,172,1.762956125,1.282149909,0,1460,240.85,499.0339378,249034.8711,0,0,0,1,0,0,0,0,0,253.5263158,37.18181818,551.0,264,0,0,0,0,0,0,11,409,8,4408,29200,33,8,20,1231727.0,0.0,1231727,1231727,5007790.0,0.0,5007790,5007790
3299,109,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,110091.743119266,18348.623853211,109.0,0.0,109,109,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,9174.3119266055,9174.3119266055,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,119,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,81373,3,5,26,11607,20,0,8.666666667,10.26320288,8675,0,2321.4,3769.536019,142958.9667,98.31270815,11624.71429,30269.05376,80267,5,832,416.0,323.8549058,645,187,81328,20332.0,39958.3579,80267,5,0,0,0,0,72,112,36.86726555,61.44544259,0,8675,1292.555556,2931.429562,8593279278,0,0,0,1,0,0,0,0,1,1454125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
53,60846,1,1,41,171,41,41,41.0,0.0,171,171,171.0,0.0,3484.206028,32.86986819,60846.0,0.0,60846,60846,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.4349341,16.4349341,41,171,84.33333333,75.05553499,5633.333333,0,0,0,0,0,0,0,0,1,126.5,41.0,171.0,32,0,0,0,0,0,0,1,41,1,171,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,85314299,8,6,686,11595,343,0,85.75,158.7781471,8688,0,1932.5,3384.303045,143.9500781,0.164099104,6562638385,23600000.0,85000000,1,85200000,12200000.0,32100000.0,85000000,1,356593,71318.6,102059466,220968,48,0,0,0,0,264,200,0.093770916,0.070328187,0,8688,818.7333333,2233.755757,4989664781,0,0,0,0,1,0,0,0,0,877.2142857,85.75,1932.5,264,0,0,0,0,0,0,8,686,6,11595,274,235,2,32,7.0,0.0,7,7,85000000.0,0.0,85000000,85000000
80,13343,2,2,12,0,6,6,6.0,0.0,0,0,0.0,0.0,899.3479727,299.7826576,4447.666667,7412.008185,13005,39,338,338.0,0.0,338,338,13304,13304.0,0.0,13304,13304,0,0,0,0,40,64,149.8913288,149.8913288,0,6,3.6,3.286335345,10.8,1,0,0,0,0,0,0,0,1,4.5,6.0,0.0,40,0,0,0,0,0,0,2,12,2,0,0,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0
1051,49,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,20408.16327,20408.16327,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
58086,93,2,1,37,6,37,0,18.5,26.1629509039,6,6,6.0,0.0,462365.59139785,32258.064516129,46.5,14.8492424049,57,36,93,93.0,0.0,93,93,0,0.0,0.0,0,0,1,0,0,0,64,20,21505.376344086,10752.688172043,0,37,20.0,19.7821468333,391.3333333333,0,1,0,0,1,0,0,0,0,26.6666666667,18.5,6.0,64,0,0,0,0,0,0,2,37,1,6,117,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,5163650,8,6,372,4213,191,0,46.5,71.8768788574,1460,0,702.1666666667,700.7990915139,887.9377959389,2.7112604456,397203.846153846,1368703.36455913,4951222,3,5163650,737664.285714286,1858733.12832851,4951222,3,65282,13056.4,17508.5945838037,34851,48,0,0,0,0,172,132,1.5492916832,1.1619687624,0,1460,305.6666666667,538.9013515168,290414.666666667,0,0,0,1,0,0,0,0,0,327.5,46.5,702.1666666667,172,0,0,0,0,0,0,8,372,6,4213,8192,946,7,20,0.0,0.0,0,0,0.0,0.0,0,0
53,82117,1,1,43,99,43,43,43.0,0.0,99,99,99.0,0.0,1729.239987,24.35549277,82117.0,0.0,82117,82117,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,12.17774639,12.17774639,43,99,61.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,92.5,43.0,99.0,20,0,0,0,0,0,0,1,43,1,99,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
443,528,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,22727.2727272727,3787.8787878788,528.0,0.0,528,528,528,528.0,0.0,528,528,0,0.0,0.0,0,0,0,0,0,0,40,0,3787.8787878788,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,100142816,5,8,387,11595,375,0,77.4,166.3905045,4344,0,1449375,1547.981999,119.6491219,0.129814604,8345234667,28900000.0,100000000,5,100000000,25000000.0,50000000.0,100000000,5,100000000,14300000.0,37800000.0,100000000,15,0,0,0,0,144,264,0.049928694,0.07988591,0,4344,856.2857143,1343.211446,1804216989,1,0,0,0,0,0,0,0,1,922.1538462,77.4,1449375,144,0,0,0,0,0,0,5,387,8,11595,0,235,2,20,2002.0,0.0,2002,2002,100000000.0,0.0,100000000,100000000
443,924824,8,4,346,3234,189,0,43.25,73.28369532,1786,0,808.5,943.7180017,3871.006808,12.97544181,84074.90909,144386.6208,346925,38,924824,132117.7143,166405374,349876,219,350704,116901.3333,199775.5454,347577,214,0,0,0,0,264,136,8.650294543,4.325147271,0,1786,275.3846154,602.2998338,362765.0897,0,0,0,1,0,0,0,0,0,298.3333333,43.25,808.5,264,0,0,0,0,0,0,8,346,4,3234,29200,54,3,32,0.0,0.0,0,0,0.0,0.0,0,0
443,48,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,40,0,41666.66667,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
8573,214,2,1,37,6,31,6,18.5,17.67766953,6,6,6.0,0.0,200934.5794,14018.69159,107.0,123.0365799,194,20,214,214.0,0.0,214,214,0,0.0,0.0,0,0,1,0,0,0,40,20,9345.794393,4672.897196,6,31,18.5,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,24.66666667,18.5,6.0,40,0,0,0,0,0,0,2,37,1,6,946,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,965,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2072.53886,965.0,0.0,965,965,965,965.0,0.0,965,965,0,0.0,0.0,0,0,0,0,0,0,64,0,2072.53886,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
50893,75,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,160000.0,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,13333.33333,13333.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,60,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,182534,3,6,307,11595,307,0,102.3333333,177.2465326,4344,0,1932.5,1977.812908,65204.29071,49.30588274,22816.75,59669.47826,170134,5,12006,6003.0,8482.452947,12001,5,182463,36492.6,74884.67934,170134,57,0,0,0,0,104,200,16.43529425,32.87058849,0,4344,1190.2,1760.509573,3099393956,0,0,0,1,0,0,0,0,2,1322.444444,102.3333333,1932.5,104,0,0,0,0,0,0,3,307,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,67418414,24,23,2276,17098,517,0,94.8333333333,182.5602144063,2421,0,743.3913043478,765.332176196,287.3695604883,0.6971389152,1465617.69565217,3337553.93677819,10017539,3,57507483,2500325.34782609,4174600.63386949,10272017,75,67163881,3052903.68181818,4913931.11157129,12271841,3,0,0,0,0,776,744,0.355985829,0.3411530862,0,2421,403625,631.7688314431,399131.856382979,0,0,0,1,0,0,0,0,0,412.2127659574,94.8333333333,743.3913043478,776,0,0,0,0,0,0,24,2276,23,17098,29200,155,6,32,1282035.83333333,1127097.93085773,2419497,254579,9954366.0,146081.573511514,10017539,9656521
53,24009,2,2,70,126,35,35,35.0,0.0,63,63,63.0,0.0,8163.605315,166.6041901,8003.0,13816.58681,23957,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,64,40,83.30209505,83.30209505,35,63,46.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,57.75,35.0,63.0,64,0,0,0,0,0,0,2,70,2,126,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
1710,2513,2,0,6,0,6,0,3.0,4.242640687,0,0,0.0,0.0,2387.58456,795.8615201,2513.0,0.0,2513,2513,2513,2513.0,0.0,2513,2513,0,0.0,0.0,0,0,0,0,0,0,52,0,795.8615201,0.0,0,6,2.0,3.464101615,12.0,0,0,0,0,1,0,0,0,0,3.0,3.0,0.0,52,0,0,0,0,0,0,2,6,0,0,247,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,16,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,125000.0,16.0,0.0,16,16,16,16.0,0.0,16,16,0,0.0,0.0,0,0,0,0,0,0,64,0,125000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,178,2,2,62,216,31,31,31.0,0.0,108,108,108.0,0.0,1561797753,22471.91011,59.33333333,61.78457197,126,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,11235.95506,11235.95506,31,108,61.8,42.17463693,1778.7,0,0,0,0,0,0,0,0,1,77.25,31.0,108.0,40,0,0,0,0,0,0,2,62,2,216,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,49637,1,1,62,90,62,62,62.0,0.0,90,90,90.0,0.0,3062.231803,40.29252372,49637.0,0.0,49637,49637,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,20.14626186,20.14626186,62,90,71.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,107.0,62.0,90.0,32,0,0,0,0,0,0,1,62,1,90,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,31005,2,2,62,244,31,31,31.0,0.0,122,122,122.0,0.0,9869.3759071118,129.0114497662,10335.0,17897.2810225464,31001,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,88,40,64.5057248831,64.5057248831,31,122,67.4,49.842752733,2484.3,0,0,0,0,0,0,0,0,1,84.25,31.0,122.0,88,0,0,0,0,0,0,2,62,2,244,-1,-1,1,44,0.0,0.0,0,0,0.0,0.0,0,0
55011,3,2,0,280,0,274,6,140.0,189.5046174,0,0,0.0,0.0,93300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.6667,0.0,6,274,184.6666667,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,277.0,140.0,0.0,40,0,0,0,0,0,0,2,280,0,0,60,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,108036,1,1,44,150,44,44,44.0,0.0,150,150,150.0,0.0,1795.69773,18.51234774,108036.0,0.0,108036,108036,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,9.256173868,9.256173868,44,150,79.33333333,61.19912853,3745.333333,0,0,0,0,0,0,0,0,1,119.0,44.0,150.0,20,0,0,0,0,0,0,1,44,1,150,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
443,4106522,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,44.07622801,1.461090431,821304.4,1771047452,3989279,3,4106522,1026630.5,1975366935,3989279,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.217575359,0.243515072,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,252,131,4,20,0.0,0.0,0,0,0.0,0.0,0,0
1117,49,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,81632.65306,40816.32653,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0,0,0,48,0,40816.32653,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0
443,0,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,inf,inf,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,110450335,28,36,2116,5666,418,0,75.57142857,101.1513089,1430,0,157.3888889,350.2188114,70.45700676,0.579445956,1753179921,8327306472,58100000,1,110000000,4090753148,12500000.0,58100000,61,110000000,3153053743,11100000.0,58100000,1,0,0,0,0,572,732,0.253507606,0.32593835,0,1430,119.7230769,270.6792675,73267.26587,0,0,0,1,0,0,0,0,1,121.59375,75.57142857,157.3888889,572,0,0,0,0,0,0,28,2116,36,5666,8192,393,17,20,264336.5,268536.5266,667137,129134,27300000.0,22400000.0,58100000,9841950
1087,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
53,152,2,2,58,90,29,29,29.0,0.0,45,45,45.0,0.0,973684.2105,26315.78947,50.66666667,45.61067127,98,7,47,47.0,0.0,47,47,7,7.0,0.0,7,7,0,0,0,0,64,64,13157.89474,13157.89474,29,45,35.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,44.25,29.0,45.0,64,0,0,0,0,0,0,2,58,2,90,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,98352704,7,6,316,11595,310,0,45.14285714,116.812426,5792,0,1932.5,2181.008184,121.1049571,0.132177352,8196058667,28400000.0,98300000,4,98300000,16400000.0,40100000.0,98300000,4,13313,2662.6,3910.23833,8937,46,0,0,0,0,220,200,0.07117242,0.061004932,0,5792,850.7857143,1667.650313,2781057566,0,0,0,0,1,0,0,0,0,916.2307692,45.14285714,1932.5,220,0,0,0,0,0,0,7,316,6,11595,251,235,2,20,1022.0,0.0,1022,1022,98300000.0,0.0,98300000,98300000
443,22446685,48,51,2422,15347,453,0,50.45833333,134.5795594,1761,0,300.9215686,590.1439771,791.6090951,4.410450808,229047.8061,2036799676,20200000,0,2270846,48315.87234,90911.12045,354496,0,22100000,441990.66,2849258296,20200000,1,0,0,0,0,1088,1032,2.138400392,2.272050416,0,1761,177.69,447.7533524,200483.0645,0,0,0,1,0,0,0,0,1,179.4848485,50.45833333,300.9215686,1088,0,0,0,0,0,0,48,2422,51,15347,29200,165,7,20,2270846.0,0.0,2270846,2270846,20200000.0,0.0,20200000,20200000
